Requested,Remaining,Date,Item,Description,Size,Form,Whs,UPC,,Retail,Selling Price,Price Code,Extended,
10,10,5/1/2016,031871,HOSTA ABIQUA DRINKING GOURD,1,,160000,014949218907,,$19.99 ,$6.89 ,,$68.90 ,
10,10,5/1/2016,403611,HOSTA EARTH ANGEL,1,,160000,014949392133,,$16.99 ,$5.70 ,,$57.00 ,
10,10,5/1/2016,006981,HOSTA MINUTEMAN,1,,160000,014949004234,,$19.99 ,$6.89 ,,$68.90 ,
10,10,5/1/2016,403641,HOSTA SO SWEET,1,,160000,014949392218,,$16.99 ,$5.70 ,,$57.00 ,
5,5,5/1/2016,041715,HYD ARB ANNABELLE,5,,160000,014949057247,,$65.99 ,$22.09 ,,$110.45 ,
5,5,5/1/2016,042022,HYD PAN ANGEL'S BLUSH R P10751,2,,160000,014949420225,,$44.99 ,$15.68 ,,$78.40 ,
10,10,5/1/2016,041701,HYD PETIOLARIS,1,ST,160000,014949417010,,$22.99 ,$8.31 ,,$83.10 ,
6,6,5/1/2016,045092,ILEX X BERRI-MAGIC R KIDS,2,,160000,014949450925,,$45.99 ,$15.91 ,,$95.46 ,
10,10,5/1/2016,043121,KNIPHOFIA HIR FIRE DANCE,1,,160000,014949338421,,$16.99 ,$5.70 ,,$57.00 ,
5,5,5/1/2016,059635,MAG X ROSE MARIE,5,,160000,014949201695,,$108.99 ,$39.19 ,,$195.95 ,
5,5,5/1/2016,050282,PAEONIA X BUCKEYE BELLE (RED),2,,160000,014949269336,,$54.99 ,$19.71 ,,$98.55 ,
5,5,5/1/2016,063572,PAEONIA X KARL ROSENFIELD(RED),2,,160000,014949635728,,$54.99 ,$19.71 ,,$98.55 ,
5,5,5/1/2016,064912,PAEONIA X MME EMILE DEBATENE,2,,160000,014949649121,,$54.99 ,$19.71 ,,$98.55 ,
5,5,5/1/2016,046072,PAEONIA X RASPBERRY SUNDAE(PK),2,,160000,014949238882,,$54.99 ,$19.71 ,,$98.55 ,
5,5,5/1/2016,405292,PIERIS J CAVATINE,2,,160000,014949395578,,$46.99 ,$16.39 ,,$81.95 ,
8,8,5/1/2016,066682,POTENTILLA GOLDFINGER,2,,160000,014949666821,,$38.99 ,$13.30 ,,$106.40 ,
5,5,5/1/2016,405455,PRUNUS X CARMINE JEWEL TM,5,,160000,014949429556,,$93.99 ,$33.01 ,,$165.05 ,
5,5,5/1/2016,030462,RHOD (H-1) ELVIIRA,2,,160000,014949213742,,$49.99 ,$17.58 ,,$87.90 ,
10,10,4/1/2016,071011,RUDBECKIA FULGIDA GOLDSTURM,1,,160000,014949782118,,$14.99 ,$4.99 ,,$49.90 ,
6,6,5/1/2016,039492,SALIX INTEGRA FLAMINGO PP17490,2,,160000,014949227244,,$41.99 ,$14.49 ,,$86.94 ,
16,16,5/1/2016,41272UT,SEDUM SSPKLR R FIRE CRACKR PAF,QT,,160000,014949424919,,$10.99 ,$3.56 ,,$56.96 ,
6,6,5/1/2016,075012S,SPIRAEA DBLPLAY R ARTIST PPAF,2S,,160000,014949349359,,$46.99 ,$15.68 ,,$94.08 ,
10,10,5/1/2016,071251,SPIRAEA JAP LITTLE PRINCESS,1,,160000,014949712511,,$17.99 ,$6.18 ,,$61.80 ,
6,6,5/1/2016,071302,SPIRAEA NIPPON SNOWMOUND,2,,160000,014949713020,,$37.99 ,$13.06 ,,$78.36 ,
10,10,5/1/2016,071171,SPIRAEA X GOLDFLAME,1,,160000,014949711712,,$17.99 ,$6.18 ,,$61.80 ,
10,10,5/1/2016,086431S,SYRINGA BLOOMERNG R DK PPL PAF,1S,,160000,014949373002,,$29.99 ,$10.45 ,,$104.50 ,
10,10,5/1/2016,406801S,SYRINGA BLOOMERNG R PNK PRFM,1S,,160000,014949420591,,$29.99 ,$10.45 ,,$104.50 ,
10,10,5/1/2016,071801,SYRINGA V ANGEL WHITE,1,,160000,014949718018,,,$9.03 ,,$90.30 ,
5,5,5/1/2016,072102,SYRINGA V CHARLES JOLY,2,,160000,014949721025,,$45.99 ,$15.91 ,,$79.55 ,
5,5,5/1/2016,071902,SYRINGA V LUDWIG SPAETH,2,,160000,014949719022,,$45.99 ,$15.91 ,,$79.55 ,
10,10,5/1/2016,047442,THUJA OC FIRE CHIEF TM P19009,2,,160000,014949255841,,$43.99 ,$15.44 ,,$154.40 ,
10,10,5/15/2016,072861,THUJA OC GOLDEN GLOBE,1,,160000,014949728611,,$17.99 ,$6.18 ,,$61.80 ,
10,10,5/1/2016,072921,THUJA OC HETZ MIDGET,1,,160000,014949729212,,$17.99 ,$6.18 ,,$61.80 ,
5,5,5/1/2016,075052S,THUJA OC NORTH POLE R PPAF,2S,,160000,014949337318,,$49.99 ,$16.86 ,,$84.30 ,
5,5,5/1/2016,072405,THUJA X TINY TOWER R PPAF,5,,160000,014949372524,,$68.99 ,$23.28 ,,$116.40 ,
5,5,5/1/2016,012655,TSUGA CAN GOLDEN DUKE TM PPAF,5,,160000,014949426975,,$84.99 ,$29.69 ,,$148.45 ,
10,10,5/1/2016,038191,TSUGA CAN JEDDELOH,1,,160000,014949431733,,$21.99 ,$7.60 ,,$76.00 ,
10,10,5/1/2016,081702,VACCINIUM X JELLY BEAN TM PPAF,2,,160000,014949361306,,$43.99 ,$15.44 ,,$154.40 ,
10,10,5/1/2016,409971,WEIGELA F COCO KRUNCH R PPAF,1,,160000,014949423103,,$21.99 ,$7.60 ,,$76.00 ,
6,6,5/1/2016,017572,WEIGELA MAGICAL R FNTSY P13567,2,,160000,014949214190,,$40.99 ,$14.25 ,,$85.50 ,
10,10,5/1/2016,080942S,WEIGELA SONIC BLOOM TM PNK PAF,2S,,160000,014949360712,,$52.99 ,$18.05 ,,$180.50 ,
