Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Qty Cfm,END CAP AVAIL,YOUR BOOKED QTY REMAIN,Condition,Current Specs,"QTY 
AVAIL NOW","2ND 
QTY 
AVAIL","2ND 
QTY 
READY DATE",2014 List Price,"YOUR 
20%
DISC PRICE",Freight,Landed Price,YOUR RETAIL PRICE,SKU,UPC#,,,
OR,    ,000701,#1,ACER PAL ATROPURPUREUM-S.,Red-Leaf Japanese Maple                                     ,TRE,05,     ,,,BREAKING DORMANCY,"18""H - 10""S",     , 134 ,05/15/14  , 8.00 , 6.40 , 0.46 , 6.86 ,     ,,014949007013,,,
OR,    ,000752,#2,ACER PAL BLOODGOOD,Bloodgood Japanese Maple                                    ,TRE,05,     ,#REF!,,BREAKING DORMANCY,"30""H",     , 116 ,05/15/14  , 36.00 , 28.80 , 1.15 , 29.95 ,     ,,014949007525,,,
OR,    ,000849,#15,ACER PAL EMPEROR I R,Emperor I®  Japanese Maple,TRE,05,     ,,,-,"64""H-30""S",     , 5 ,05/15/14  , 138.00 , 110.40 , 11.50 , 121.90 ,     ,,014949008485,,,
OR,    ,033215,#5,ACER PAL KAGIRI NISHIKI,Kagiri Nishiki Japanese Maple                               ,TRE,05,     ,,,BREAKING DORMANCY,"38""H", 52 ,     ,          , 54.00 , 43.20 , 2.30 , 45.50 ,     ,,014949071212,,,
OR,    ,001052,#2,ACER PAL OSHIO BENI,Oshio-Beni Japanese Maple                                   ,TRE,05,     ,,,BREAKING DORMANCY,"30""H",     , 129 ,05/15/14  , 36.00 , 28.80 , 1.15 , 29.95 ,     ,,014949010525,,,
OR,2011,01039MST,#10 Squat STAKED,ACER PAL RED DRAGON R,Red Dragon®  Japanese Maple,TRE,05,     ,,,BREAKING DORMANCY,"36""H",     , 8 ,05/15/14  , 109.00 , 87.20 , 8.28 , 95.48 ,     ,,014949274002,,,
OR,    ,000912,#2,ACER PAL SEIRYU,Seiryu Japanese Maple                                       ,TRE,05,     ,,,BREAKING DORMANCY,"32""H",     , 479 ,05/15/14  , 36.00 , 28.80 , 1.15 , 29.95 ,     ,,014949009123,,,
OR,    ,000655MU,#5 CLUMP,ACER PALMATUM,Japanese Maple                                              ,TRE,05,     ,,,BREAKING DORMANCY,"45""H", 5 ,     ,          , 27.00 , 21.60 , 2.30 , 23.90 ,     ,,014949006757,,,
OR,    ,001135,#5,ACER PLAT CRIMSON KING,Crimson King Norway Maple                                   ,TRE,03,     ,,,BREAKING DORMANCY,"62""H", 45 ,     ,          , 27.00 , 21.60 , 2.30 , 23.90 ,     ,,014949011355,,,
OR,2012,058241,#1,ACHILLEA APRICOT DLGHT PP18738,Tutti Frutti Apricot Delight Yarrow                         ,PRN,03,     ,,,-,., 608 ,,, 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949357941,,,
OR,    ,029061,#1,ACHILLEA MILL RED VELVET,Red Velvet Yarrow                                           ,PRN,03,     ,,,-,., 794 ,,, 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949065426,,,
OR,    ,000511,#1,ACHILLEA OERTEL'S ROSE,Oertel's Rose Yarrow                                        ,PRN,03,     ,,,-,.," 1,827 ",,, 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949002506,,,
OR,2012,058251,#1,ACHILLEA STRWBRY SDCTN P18401,Strawberry Seduction Yarrow                                 ,PRN,03,     ,,,-,., 108 ,,, 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949357965,,,
OR,    ,001391,#1 STAKED,ACTINIDIA ARG ISSAI (FEMALE),Hardy Kiwi Vine                                             ,VIN,04,     ,,,BREAKING DORMANCY,FULL STK, 14 ,     ,          , 11.00 , 8.80 , 0.46 , 9.26 ,     ,,014949013915,,,
OR,    ,001495,#5 STAKED,ACTINIDIA KOLOMIKTA,Ornamental Kiwi (Female)                                    ,VIN,04,     ,,,BREAKING DORMANCY,48''FULL STK, 8 ,     ,          , 28.50 , 22.80 , 2.30 , 25.10 ,     ,,014949014950,,,
OR,    ,001565,#5,AESCULUS PARVIFLORA,Bottlebrush Buckeye                                         ,TRE,04,     ,,,BREAKING DORMANCY,"42""H",     , 21 ,05/01/14  , 31.00 , 24.80 , 2.30 , 27.10 ,     ,,014949015650,,,
OR,    ,028895,#5,AESCULUS X ARN AUTUMN SPLENDOR,Autumn Splendor Horse Chestnut                              ,TRE,04,     ,,,BREAKING DORMANCY,"60""H", 537 ,,, 31.00 , 24.80 , 2.30 , 27.10 ,     ,,014949065174,,,
OR,    ,000575,#5,AESCULUS X CARNEA FORT MCNAIR,Fort McNair Horse Chestnut                                  ,TRE,05,     ,,,BREAKING DORMANCY,"58""H-15""S", 31 ,,, 31.00 , 24.80 , 2.30 , 27.10 ,     ,,014949052990,,,
OR,    ,097222,#2,AGAPANTHUS HYBRID BLUE,                                                            ,DCS,06,     ,,,CUT BACK,., 199 ,     ,          , 14.00 , 11.20 , 1.15 , 12.35 ,     ,,014949383780,,,
CA,    ,001881,#1,AGAPANTHUS X MIDKNIGHT BLUE R,Midknight Blue®  Agapanthus,DCS,06,     ,#REF!,,BUDS,3-5 FANS," 3,526 ",,, 7.00 , 5.60 , 0.49 , 6.09 ,     ,,014949018811,,,
CA,2011,058471,#1,AGASTACHE AUR APRICOT SPRITE,Apricot Sprite Hyssop                                       ,PRN,05,     ,,,-,"11""H -10""S",     , 15 ,05/01/14  , 4.75 , 3.80 , 0.49 , 4.29 ,     ,,014949332320,,,
OR,2010,059041,#1,AGASTACHE HEATWAVE PP19662,Heatwave Hyssop                                             ,PRN,05,     ,,,,CAN FULL,     ," 1,223 ",06/01/14  , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949309599,,,
OR,    ,021251,#1,AGASTACHE X BLUE FORTUNE,Blue Fortune Hyssop                                         ,PRN,05,     ,,,EMERGING,., 784 ,,, 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949053829,,,
OR,    ,080301,#1,AJUGA CHOCOLATE CHIP,Chocolate Chip Carpet Bugle                                 ,PRN,04,     ,,,-,CAN FULL, 68 ,,, 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949803011,,,
OR,    ,00189UT,LittleOne,AJUGA REPTANS BRONZE BEAUTY,Bronze Beauty Carpet Bugle                                  ,PRN,04,     ,,,LIGHT BUDS,CAN FULL, 278 ,     ,          , 2.95 , 2.36 , 0.35 , 2.71 ,     ,,014949010839,,,
OR,    ,000594PTC,"4"" Pot POT-TERRA",AJUGA REPTANS BURGUNDY GLOW,Burgundy Glow Carpet Bugle                                  ,PRN,04,     ,,,,,     , 36 ,05/01/14  , 3.00 , 2.40 , 0.26 , 2.66 ,     ,,014949339008,,,
OR,    ,001931,#1,AJUGA REPTANS CATLIN'S GIANT,Catlin's Giant Carpet Bugle                                 ,PRN,03,     ,,,CUT BACK,., 115 ,,, 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949019313,,,
OR,    ,002595,#5 STAKED,AKEBIA QUINATA,Fiveleaf Akebia                                             ,VIN,05, 5 ,,5,BUDS,48''FULL STK, 44 ,,, 26.00 , 20.80 , 2.30 , 23.10 ,     ,,014949025956,,,
OR,    ,002565,#5 STAKED,AKEBIA QUINATA SHIRO BANA,White Flowered Chocolate Vine                               ,VIN,05,     ,,,BUDS,48''FULL STK, 622 ,,, 26.00 , 20.80 , 2.30 , 23.10 ,     ,,014949025659,,,
OR,    ,04868UT,LittleOne,ALCHEMILLA ALPINA,Mountain Lady's Mantle                                      ,PRN,03,     ,,,CUT BACK,., 315 ,     ,          , 2.95 , 2.36 , 0.35 , 2.71 ,     ,,014949265536,,,
OR,    ,000674PTC,"4"" Pot POT-TERRA",ALCHEMILLA MOLLIS THRILLER,Thriller Lady's Mantle                                      ,PRN,03,     ,,,,CAN FULL,     , 604 ,05/01/14  , 3.00 , 2.40 , 0.26 , 2.66 ,     ,,014949339046,,,
OR,2012,035341,#1,AMSONIA HUBRICHTII,Arkansas Blue Star                                          ,PRN,05,     ,,,CUT BACK,., 10 ,,, 6.00 , 4.80 , 0.46 , 5.26 ,     ,,014949357972,,,
OR,    ,016631,#1,ANDROMEDA POL BLUE ICE,Blue Ice Bog Rosemary                                       ,EVS,02,     ,,,BUDS,"4""H - 8""S",     , 59 ,06/01/14  , 8.50 , 6.80 , 0.46 , 7.26 ,     ,,014949000212,,,
OR,    ,002741,#1,ANEMONE SYLVESTRIS,Snowdrop Anemone                                            ,PRN,02,     ,,,LIGHT BUDS,PS-2*, 35 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949027417,,,
CA,2013,039021,#1,ANEMONE X WILD SWAN TM PP23132,Wild Swan™  Hybrid Anemone,PRN,06,     ,,,-,CAN FULL,     , 654 ,05/01/14  , 7.50 , 6.00 , 0.49 , 6.49 ,     ,,014949226315,,,
OR,2010,05908UT,LittleOne,AQUILEGIA C LITTLE LANTERNS,Little Lanterns Columbine                                   ,PRN,03,     ,,,EMERGING,., 985 ,     ,          , 2.95 , 2.36 , 0.35 , 2.71 ,     ,,014949352595,,,
OR,    ,029351,#1,AQUILEGIA CAE ORIGAMI MIX,Origami Mix Columbine                                       ,PRN,03,     ,,,-,CAN FULL, 10 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949066690,,,
OR,    ,002724PTC,"4"" Pot POT-TERRA",AQUILEGIA FLA CAMEO BLUE & WT,Cameo Series Blue & White Columbine                         ,PRN,03,     ,,,CUT BACK,., 27 ,     ,          , 3.00 , 2.40 , 0.26 , 2.66 ,     ,,014949307151,,,
OR,    ,002951,#1,ARCTOSTAPHYLOS MASSACHUSETTS,Massachusetts Kinnikinnick                                  ,EVS,02,     ,,,,"2""H - 6""S"," 1,037 ",     ,          , 9.00 , 7.20 , 0.46 , 7.66 ,     ,,014949029510,,,
OR,    ,003041,#1,ARMERIA MAR BLOODSTONE,Bloodstone Thrift                                           ,PRN,03,     ,,,,CAN FULL, 10 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949030417,,,
OR,    ,002691,#1,ARMERIA MAR COTTON TAIL,Cotton Tail Thrift                                          ,PRN,03,     ,,,-,CAN FULL, 104 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949026915,,,
OR,    ,019461,#1,ARMERIA MAR RUBRIFOLIA,Red Leaf Thrift                                             ,PRN,03,     ,,,,CAN FULL, 45 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949017609,,,
OR,    ,003075,#5,ARONIA BRILLIANTISSIMA,Brilliant Red Chokeberry                                    ,DCS,04,     ,,,BREAKING DORMANCY,"30""H - 12""S", 125 ,     ,          , 20.25 , 16.20 , 2.30 , 18.50 ,     ,,014949030752,,,
OR,    ,003401,#1,ASTER ALMA POTSCHKE,Alma Potschke New England Aster                             ,PRN,04,     ,,,EMERGING,., 174 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949034019,,,
OR,    ,030091,#1,ASTER FARMINGTON PPAF,Farmington Michaelmas Daisy                                 ,PRN,03,     ,,,EMERGING,.," 1,089 ",     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949067239,,,
CA,    ,003391,#1,ASTER NOVI-BELGII ALERT,Alert New York Aster                                        ,PRN,04,     ,,,,,     , 282 ,04/01/14  , 4.75 , 3.80 , 0.49 , 4.29 ,     ,,014949033913,,,
OR,    ,003471,#1,ASTER PROF KIPPENBURG,Professor Kippenburg Dwarf Aster                            ,PRN,04,     ,,,EMERGING,., 141 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949034712,,,
OR,    ,003611,#1,ASTER TRIUMPH,Triumph Aster                                               ,PRN,03,     ,,,EMERGING,., 417 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949036112,,,
OR,    ,001531,#1,ASTER WOOD'S PINK,Woods Pink New York Aster                                   ,PRN,04,     ,,,-,"6""H - 8""S", 917 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949008911,,,
OR,    ,003521,#1,ASTILBE CHINENSIS PUMILA,Chinese Astilbe                                             ,PRN,04,     ,,,EMERGING,3-5 EYES, 972 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949035214,,,
OR,    ,003621,#1,ASTILBE CHINENSIS VISIONS,Visions Astilbe                                             ,PRN,04,     ,,,EMERGING,3-5 EYES, 72 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949036211,,,
OR,    ,027501,#1,ASTILBE COLOR FLASH R PP17343,Color Flash®  Astilbe,PRN,04,     ,,,DORMANT,3-5 EYES," 1,287 ",     ,          , 6.75 , 5.40 , 0.46 , 5.86 ,     ,,014949061862,,,
OR,    ,003511,#1,ASTILBE DEUTSCHLAND,Deutschland Astilbe                                         ,PRN,04,     ,,,EMERGING,3-5 EYES, 10 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949035115,,,
OR,    ,00350UT,LittleOne,ASTILBE FANAL,Fanal Astilbe                                               ,PRN,04,     ,,,DORMANT,1-2 EYES, 16 ,,, 2.95 , 2.36 , 0.35 , 2.71 ,     ,,014949010860,,,
OR,    ,001631,#1,ASTILBE HENNIE GRAAFLAND,Hennie Graafland Star Astilbe                               ,PRN,04,     ,,,DORMANT,3-5 EYES," 1,210 ",     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949000281,,,
OR,    ,034331,#1,ASTILBE MAGGIE DALEY,Maggie Daley Astilbe                                        ,PRN,04,     ,,,DORMANT,3-5 EYES," 1,225 ",     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949071731,,,
OR,    ,001681,#1,ASTILBE RED SENTINEL,Red Sentinel Astilbe                                        ,PRN,04,     ,,,EMERGING,3-5 EYES, 25 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949010174,,,
OR,    ,003541,#1,ASTILBE RHEINLAND,Rheinland Astilbe                                           ,PRN,04,     ,,,EMERGING,3-5 EYES, 84 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949035412,,,
OR,    ,037391,#1,ASTILBE WHT SENSATION PP18462,White Sensation Astilbe                                     ,PRN,04,     ,,,DORMANT,3-5 EYES, 502 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949217139,,,
OR,    ,023191,#1,ASTRANTIA ABBEY ROAD PP14961,Abbey Road Masterwort                                       ,PRN,04,     ,,,DORMANT,3-5 EYES, 586 ,,, 6.75 , 5.40 , 0.46 , 5.86 ,     ,,014949043103,,,
OR,    ,003551,#1,AUBRIETA ROKEY'S PURPLE,Rokey's Purple Aubrieta                                     ,PRN,05,     ,,,LIGHT BUD & BLOOM,PS2, 116 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949035511,,,
CA,    ,003561,#1,AUCUBA MR GOLDSTRIKE,Mr. Goldstrike Aucuba                                       ,EVS,06,     ,#REF!,,-,"8""H - 7""S", 272 ,,, 7.25 , 5.80 , 0.49 , 6.29 ,     ,,014949035610,,,
CA,    ,003651,#1,AUCUBA SERRATIFOLIA,Sawtoothed Japanese Aucuba                                  ,EVS,06,     ,,,-,"7""H - 6""S",     , 33 ,05/01/14  , 7.25 , 5.80 , 0.49 , 6.29 ,     ,,014949036518,,,
OR,    ,008451,#1,AZALEA GA ROSEBUD,Rosebud Azalea                                              ,RHO,05,     ,,,BUDS,"12""H - 10""S", 469 ,     ,          , 5.75 , 4.60 , 0.46 , 5.06 ,     ,,014949084519,,,
OR,    ,007401,#1,AZALEA GR FUCHSIA,Girard's Fuchsia Azalea                                     ,RHO,06,     ,,,BUDS,12''H - 8''S, 80 ,     ,          , 5.75 , 4.60 , 0.46 , 5.06 ,     ,,014949074015,,,
CA,    ,007452,#2,AZALEA GR GIRARD HOT SHOT,Girard's Hot Shot Azalea                                    ,RHO,06,     ,,,BUDS,"10""H - 12""S", 11 ,     ,          , 14.50 , 11.60 , 1.24 , 12.84 ,     ,,014949074527,,,
CA,    ,007601,#1,AZALEA GR ROSE,Girard's Rose Azalea                                        ,RHO,06,     ,,,BUDS,"8""H - 9""S", 43 ,     ,          , 5.75 , 4.60 , 0.49 , 5.09 ,     ,,014949076019,,,
OR,2010,057112,#2,BAM-FARGESIA N JIUZHAIGOU(CLP),Red Clumping Bamboo                                         ,GRS,05,     ,,,,, 25 ,     ,          , 29.50 , 23.60 , 1.15 , 24.75 ,     ,,014949290231,,,
OR,    ,025212,#2,BAM-FARGESIA RUFA (CLUMP),Sunset Glow Bamboo                                          ,GRS,05,     ,,,-,"20""H", 35 ,     ,          , 23.50 , 18.80 , 1.15 , 19.95 ,     ,,014949191972,,,
CA,    ,002191,#1,BAPTISIA AUSTRALIS,Blue False Indigo                                           ,PRN,03,     ,,,-,CAN FULL,     , 10 ,04/01/14  , 4.75 , 3.80 , 0.49 , 4.29 ,     ,,014949011324,,,
OR,    ,023942,#2,BER CRIMSON RUBY R PPAF,Crimson Ruby®  Japanese Barberry,DCS,04,     ,#REF!,,BREAKING DORMANCY,"10""H - 12""S", 157 ,     ,          , 14.75 , 11.80 , 1.15 , 12.95 ,     ,,014949113769,,,
OR,2011,074741S,SuperOne TM,BER SUNJOY R GOLD PILLAR PPAF,Sunjoy®  Gold Pillar Barberry,DCS,04,     ,,,,"10""H - 4""S", 8 ,,, 9.75 , 7.80 , 0.77 , 8.57 ,     ,,014949335642,,,
OR,2014,080771S,SuperOne TM,BER SUNJOY R MINI SALSA PPAF,Sunjoy®  Mini Salsa Barberry,DCS,04,     ,,,BREAKING DORMANCY,8''H -10''S, 27 ,     ,          , 9.75 , 7.80 , 0.77 , 8.57 ,     ,,014949359501,,,
OR,    ,012002,#2,BER T ATROPURPUREA,Red Leaf Japanese Barberry                                  ,DCS,04,     ,,,BREAKING DORMANCY,14''H - 12''S, 271 ,     ,          , 12.50 , 10.00 , 1.15 , 11.15 ,     ,,014949120026,,,
OR,    ,012013,#3,BER T CHERRY BOMB R CPBR 3488,Cherry Bomb®  Japanese Barberry,DCS,04,     ,#REF!,,BREAKING DORMANCY,12''H - 15''S, 55 ,     ,          , 19.00 , 15.20 , 1.84 , 17.04 ,     ,,014949120132,,,
OR,    ,002241,#1,BER T CONCORDE,Concorde Japanese Barberry                                  ,DCS,04,     ,#REF!,,BREAKING DORMANCY,"6""H - 6""S", 10 ,     ,          , 6.00 , 4.80 , 0.46 , 5.26 ,     ,,014949198063,,,
OR,    ,012051,#1,BER T CRIMSON PYGMY,Crimson Pygmy Dwarf Japanese Barberry                       ,DCS,04,     ,,,BREAKING DORMANCY,8''H - 8''S," 1,516 ",     ,          , 5.75 , 4.60 , 0.46 , 5.06 ,     ,,014949120514,,,
OR,    ,035232,#2,BER T GOLDEN RUBY R PP16203,Golden Ruby®  Barberry,DCS,04, 25 ,#REF!,25,BREAKING DORMANCY,8''H - 12''S, 453 ,     ,          , 15.25 , 12.20 , 1.15 , 13.35 ,     ,,014949214626,,,
OR,2010,035271,#1,BER T GREEN HORNET TM,Green Hornet™  Barberry,DCS,04,     ,,,DORMANT,"10""H - 10""S"," 1,168 ",     ,          , 7.00 , 5.60 , 0.46 , 6.06 ,     ,,014949206133,,,
OR,    ,012102,#2,BER T HELMOND PILLAR,Helmond Pillar Barberry                                     ,DCS,04,     ,#REF!,,BREAKING DORMANCY,18''H - 10''S, 70 ,     ,          , 12.50 , 10.00 , 1.15 , 11.15 ,     ,,014949121023,,,
CA,    ,020701,#1,BER T LIME GLOW,Lime Glow Japanese Barberry                                 ,DCS,04,     ,,,-,"8""H - 8""S", 337 ,     ,          , 5.75 , 4.60 , 0.49 , 5.09 ,     ,,014949039601,,,
OR,2012,062931,#1,BER T ORANGE ROCKET PP18411,Orange Rocket Barberry                                      ,DCS,04,     ,#REF!,,BREAKING DORMANCY,"12""H - 6""S", 61 ,     ,          , 6.50 , 5.20 , 0.46 , 5.66 ,     ,,014949348093,,,
OR,2010,035241,#1,BER T PYGMY RUBY TM,Pygmy Ruby™  Barberry,DCS,04,     ,,,BREAKING DORMANCY,10''H - 10''S," 2,654 ",     ,          , 7.00 , 5.60 , 0.46 , 6.06 ,     ,,014949214602,,,
OR,    ,012201,#1,BER T ROSE GLOW,Rose Glow Japanese Barberry                                 ,DCS,04,     ,#REF!,,BREAKING DORMANCY,10''H - 8''S," 18,243 ",     ,          , 5.75 , 4.60 , 0.46 , 5.06 ,     ,,014949122013,,,
OR,    ,012211,#1,BER T ROYAL BURGUNDY R P9461,Royal Burgundy®  Barberry,DCS,04,     ,,,BREAKING DORMANCY,8''H - 10''S," 3,392 ",     ,          , 6.50 , 5.20 , 0.46 , 5.66 ,     ,,014949122112,,,
OR,    ,029662,#2,BER T ROYAL CLOAK,Royal Cloak Japanese Barberry                               ,DCS,04,     ,,,-,"14""H - 12""S", 346 ,     ,          , 12.50 , 10.00 , 1.15 , 11.15 ,     ,,014949070901,,,
OR,    ,01231MMU,#10 Squat CLUMP,BETULA JACQUEMONTII,Whitebarked Himalayan Birch                                 ,TRE,04,     ,,,BREAKING DORMANCY,"72""H-30""S", 9 ,     ,          , 79.00 , 63.20 , 8.28 , 71.48 ,     ,,014949050767,,,
OR,    ,024715,#5,BETULA N SUMR CASCADE PP15150,Summer Cascade River Birch                                  ,TRE,04,     ,,,BREAKING DORMANCY,"50""H", 46 ,     ,          , 33.00 , 26.40 , 2.30 , 28.70 ,     ,,014949049464,,,
OR,    ,012361,#1,BETULA PENDULA PURPLE RAIN R,Purple Rain®  European White Birch,TRE,02,     ,,,BREAKING DORMANCY,"40""H", 202 ,     ,          , 9.00 , 7.20 , 0.46 , 7.66 ,     ,,014949123614,,,
OR,    ,012415ST,#5 STAKED,BETULA PENDULA YOUNGII,Young's Weeping Birch                                       ,TRE,02,     ,,,BREAKING DORMANCY,"50""H - 18""S", 101 ,     ,          , 38.00 , 30.40 , 2.30 , 32.70 ,     ,,014949125052,,,
CA,2011,074411S,SuperOne TM,BUD LO&BEHLD R BLU CHP PP19991,Blue Chip Dwarf Summer Lilac                                ,DCS,05,     ,,,-,"8""H - 9""S", 300 ,     ,          , 9.75 , 7.80 , 0.82 , 8.62 ,     ,,014949335680,,,
CA,2012,080811S,SuperOne TM,BUD LO&BEHLD R ICE CHIP PPAF,Ice Chip Summer Lilac                                       ,DCS,05,     ,,,-,"6""H - 6""S", 180 ,     ,          , 9.75 , 7.80 , 0.82 , 8.62 ,     ,,014949360989,,,
CA,2012,080792S,SuperTwo,BUD LO&BEHLD R LILAC CHIP PPAF,Lo & Behold®  Lilac Chip Summer Lilac,DCS,05,     ,,,-,"6''H - 8""S", 89 ,,, 16.00 , 12.80 , 1.65 , 14.45 ,     ,,014949360972,,,
CA,2011,077412S,SuperTwo,BUD LO&BEHLD R PRPL HAZE PPAF,Lo & Behold®  Purple Haze Summer Lilac,DCS,05,     ,,,-,"7""H - 8""S", 197 ,,, 16.00 , 12.80 , 1.65 , 14.45 ,     ,,014949361030,,,
CA,    ,034661S,SuperOne TM,BUDDLEJA DAV ADONIS BLUE TM,English Butterfly™  Adonis Blue™  Butterfly Bush,DCS,05,     ,,,-,"8""H - 8""S", 691 ,     ,          , 9.00 , 7.20 , 0.82 , 8.02 ,     ,,014949350140,,,
CA,    ,013781,#1,BUDDLEJA DAV BLACK KNIGHT,Black Knight Butterfly Bush                                 ,DCS,05,     ,,,-,"8""H - 8""S", 98 ,     ,          , 5.75 , 4.60 , 0.49 , 5.09 ,     ,,014949137819,,,
CA,    ,034671S,SuperOne TM,BUDDLEJA DAV PEACOCK TM,English Butterfly™  Peacock™  Butterfly Bush,DCS,05,     ,,,-,"8""H - 8""S", 20 ,     ,          , 9.00 , 7.20 , 0.82 , 8.02 ,     ,,014949350102,,,
CA,    ,013771,#1,BUDDLEJA DAV PETITE INDIGO R,Petite Indigo®  Dwarf Butterfly Bush,DCS,05,     ,,,-,"8""H - 8""S", 909 ,     ,          , 5.75 , 4.60 , 0.49 , 5.09 ,     ,,014949137710,,,
CA,    ,013761,#1,BUDDLEJA DAV PETITE PLUM R,Petite Plum®  Dwarf Butterfly Bush,DCS,05,     ,,,-,"8""H - 8""S", 448 ,     ,          , 5.75 , 4.60 , 0.49 , 5.09 ,     ,,014949137611,,,
CA,    ,013571,#1,BUDDLEJA DAV PETITE SNOW TM,Petite Snow™  Butterfly Bush,DCS,05,     ,,,-,"8""H - 8""S", 812 ,     ,          , 5.75 , 4.60 , 0.49 , 5.09 ,     ,,014949135716,,,
CA,    ,013791,#1,BUDDLEJA DAV PINK DELIGHT,Pink Delight Butterfly Bush                                 ,DCS,05,     ,,,-,"8""H - 8""S"," 1,327 ",     ,          , 5.75 , 4.60 , 0.49 , 5.09 ,     ,,014949137918,,,
CA,    ,034681S,SuperOne TM,BUDDLEJA DAV PURPLE EMPEROR TM,English Butterfly™  Purple Emperor™  Butterfly B,DCS,05,     ,,,-,"10""H - 10""S", 66 ,     ,          , 9.00 , 7.20 , 0.82 , 8.02 ,     ,,014949350126,,,
