Loc,Item,Description,Botanical Name,Common Name,,,,,,,,,,,,,,,,,
OR,050012,AGAPANTHUS BLUE LEAP,Agapanthus 'Blue Leap'                                      ,Blue Leap Lily of the Nile                                  ,,,,,,,,,,,,,,,,,
OR,050002,AGAPANTHUS INAPTERUS GRASKOP,Agapanthus inapertus 'Graskop'                              ,Graskop Lily of the Nile                                    ,,,,,,,,,,,,,,,,,
OR,412511,AGASTACHE KUDOS CORAL PPAF,Agastache 'Kudos Coral' P.P.A.F.                            ,Kudos Coral Dwarf Hummingbird Mint                          ,,,,,,,,,,,,,,,,,
OR,021251,AGASTACHE X BLUE FORTUNE,Agastache 'Blue Fortune'                                    ,Blue Fortune Hyssop                                         ,,,,,,,,,,,,,,,,,
OR,080301,AJUGA CHOCOLATE CHIP,Ajuga x 'Chocolate Chip'                                    ,Chocolate Chip Carpet Bugle                                 ,,,,,,,,,,,,,,,,,
OR,08030UT,AJUGA CHOCOLATE CHIP,Ajuga x 'Chocolate Chip'                                    ,Chocolate Chip Carpet Bugle                                 ,,,,,,,,,,,,,,,,,
OR,00189UT,AJUGA REPTANS BRONZE BEAUTY,Ajuga reptans 'Bronze Beauty'                               ,Bronze Beauty Carpet Bugle                                  ,,,,,,,,,,,,,,,,,
OR,000591,AJUGA REPTANS BURGUNDY GLOW,Ajuga reptans 'Burgundy Glow'                               ,Burgundy Glow Carpet Bugle                                  ,,,,,,,,,,,,,,,,,
OR,000594PTC,AJUGA REPTANS BURGUNDY GLOW,Ajuga reptans 'Burgundy Glow'                               ,Burgundy Glow Carpet Bugle                                  ,,,,,,,,,,,,,,,,,
OR,00059UT,AJUGA REPTANS BURGUNDY GLOW,Ajuga reptans 'Burgundy Glow'                               ,Burgundy Glow Carpet Bugle                                  ,,,,,,,,,,,,,,,,,
OR,002565,AKEBIA QUINATA SHIRO BANA,Akebia quinata 'Shirobana'                                  ,White Flowered Chocolate Vine                               ,,,,,,,,,,,,,,,,,
OR,035341,AMSONIA HUBRICHTII,Amsonia hubrichtii                                          ,Arkansas Blue Star                                          ,,,,,,,,,,,,,,,,,
OR,016632,ANDROMEDA POL BLUE ICE,Andromeda polifolia 'Blue Ice'                              ,Blue Ice Bog Rosemary                                       ,,,,,,,,,,,,,,,,,
OR,038561,ANEMONE X SERENADE,Anemone x hybrida 'Serenade'                                ,Serenade Japanese Anemone                                   ,,,,,,,,,,,,,,,,,
OR,039021,ANEMONE X WILD SWAN TM PP23132,"Anemone x 'Macane001' Wild Swan™  P.P.# 23,132",Wild Swan™  Hybrid Anemone,,,,,,,,,,,,,,,,,
OR,029351,AQUILEGIA CAE ORIGAMI MIX,Aquilegia x hybrida 'Origami Mix'                           ,Origami Mix Columbine                                       ,,,,,,,,,,,,,,,,,
OR,055482,ARALIA CORDATA GOTEMBA,Aralia cordata 'Gotemba'                                    ,Gotemba Golden Japanese Spikenard                           ,,,,,,,,,,,,,,,,,
OR,003041,ARMERIA MAR BLOODSTONE,Armeria maritima 'Bloodstone'                               ,Bloodstone Thrift                                           ,,,,,,,,,,,,,,,,,
OR,019461,ARMERIA MAR RUBRIFOLIA,Armeria maritima 'Rubrifolia'                               ,Red Leaf Thrift                                             ,,,,,,,,,,,,,,,,,
OR,003471,ASTER PROF KIPPENBURG,Aster novi-belgii 'Professor Kippenburg'                    ,Professor Kippenburg Dwarf Aster                            ,,,,,,,,,,,,,,,,,
OR,023891,ASTER WOOD'S BLUE,Aster novi-belgii 'Wood's Blue'                             ,Wood's Blue New York Aster                                  ,,,,,,,,,,,,,,,,,
OR,001531,ASTER WOOD'S PINK,Aster novi-belgii 'Wood's Pink'                             ,Woods Pink New York Aster                                   ,,,,,,,,,,,,,,,,,
OR,001591,ASTILBE BRIDAL VEIL,Astilbe x arendsii 'Bridal Veil'                            ,Bridal Veil®  Astilbe,,,,,,,,,,,,,,,,,
OR,00159UT,ASTILBE BRIDAL VEIL,Astilbe x arendsii 'Bridal Veil'                            ,Bridal Veil®  Astilbe,,,,,,,,,,,,,,,,,
OR,027501,ASTILBE COLOR FLASH R PP17343,Astilbe x arendsii 'Beauty of Ernst' P.P.# 17343            ,Color Flash®  Astilbe,,,,,,,,,,,,,,,,,
OR,003511,ASTILBE DEUTSCHLAND,Astilbe x arendsii 'Deutschland'                            ,Deutschland Astilbe                                         ,,,,,,,,,,,,,,,,,
OR,003501,ASTILBE FANAL,Astilbe x arendsii 'Fanal'                                  ,Fanal Astilbe                                               ,,,,,,,,,,,,,,,,,
OR,001631,ASTILBE HENNIE GRAAFLAND,Astilbe simplicifolia 'Hennie Graafland'                    ,Hennie Graafland Star Astilbe                               ,,,,,,,,,,,,,,,,,
OR,034331,ASTILBE MAGGIE DALEY,Astilbe chinensis 'Maggie Daley'                            ,Maggie Daley Astilbe                                        ,,,,,,,,,,,,,,,,,
OR,001681,ASTILBE RED SENTINEL,Astilbe x arendsii 'Red Sentinel'                           ,Red Sentinel Astilbe                                        ,,,,,,,,,,,,,,,,,
OR,003541,ASTILBE RHEINLAND,Astilbe x arendsii 'Rheinland'                              ,Rheinland Astilbe                                           ,,,,,,,,,,,,,,,,,
OR,00354UT,ASTILBE RHEINLAND,Astilbe x arendsii 'Rheinland'                              ,Rheinland Astilbe                                           ,,,,,,,,,,,,,,,,,
OR,023191,ASTRANTIA ABBEY ROAD PP14961,Astrantia major 'Abbey Road' P.P.# 14961                    ,Abbey Road Masterwort                                       ,,,,,,,,,,,,,,,,,
OR,003551,AUBRIETA ROKEY'S PURPLE,Aubrieta x cultorum 'Rokey's Purple'                        ,Rokey's Purple Aubrieta                                     ,,,,,,,,,,,,,,,,,
OR,078761S,AZ BLM-A-THON TM DB PK PP21477,"Rhododendron x 'RLH1-2P8' P.P. #21,477                      ",Bloom-A-Thon®  Pink Double Reblooming Azalea,,,,,,,,,,,,,,,,,
OR,078762S,AZ BLM-A-THON TM DB PK PP21477,"Rhododendron x 'RLH1-2P8' P.P. #21,477                      ",Bloom-A-Thon®  Pink Double Reblooming Azalea,,,,,,,,,,,,,,,,,
OR,078752S,AZ BLM-A-THON TM LVNDR PP21476,"Rhododendron x 'RLH14P19' P.P.# 21,476                      ",Bloom-A-Thon®  Lavender Reblooming Azalea,,,,,,,,,,,,,,,,,
OR,007072,AZALEA EX CANNON'S DOUBLE,Azalea x 'Cannon's Double' (Exbury hybrid)                  ,Cannon's Double Azalea                                      ,,,,,,,,,,,,,,,,,
OR,007075,AZALEA EX CANNON'S DOUBLE,Azalea x 'Cannon's Double' (Exbury hybrid)                  ,Cannon's Double Azalea                                      ,,,,,,,,,,,,,,,,,
OR,008305,AZALEA EX KLONDYKE,Azalea x 'Klondyke' (Exbury hybrid)                         ,Klondyke Azalea                                             ,,,,,,,,,,,,,,,,,
OR,001811,AZALEA GA KAREN,Azalea x 'Karen' (Gable Hybrid)                             ,Karen Azalea                                                ,,,,,,,,,,,,,,,,,
OR,001812,AZALEA GA KAREN,Azalea x 'Karen' (Gable Hybrid)                             ,Karen Azalea                                                ,,,,,,,,,,,,,,,,,
OR,008451,AZALEA GA ROSEBUD,Azalea x 'Rosebud' (Gable Hybrid)                           ,Rosebud Azalea                                              ,,,,,,,,,,,,,,,,,
OR,002031,AZALEA GD RENEE MICHELLE,Azalea x'Renee Michelle' (Girard hybrid)                    ,Renee Michelle Azalea                                       ,,,,,,,,,,,,,,,,,
OR,002032,AZALEA GD RENEE MICHELLE,Azalea x'Renee Michelle' (Girard hybrid)                    ,Renee Michelle Azalea                                       ,,,,,,,,,,,,,,,,,
OR,007401,AZALEA GR FUCHSIA,Azalea x 'Girard's Fuchsia' (Girard hybrid)                 ,Girard's Fuchsia Azalea                                     ,,,,,,,,,,,,,,,,,
OR,007602,AZALEA GR ROSE,Azalea x 'Girard's Rose' (Girard hybrid)                    ,Girard's Rose Azalea                                        ,,,,,,,,,,,,,,,,,
OR,007782,AZALEA NL GOLDEN LIGHTS,Azalea x 'Golden Lights' (Northern Lights hybrid)           ,Golden Lights Azalea                                        ,,,,,,,,,,,,,,,,,
OR,049782,AZARA MICRO VARIEGATA,Azara microphylla 'Variegata'                               ,Variegated Box-Leaf Azara                                   ,,,,,,,,,,,,,,,,,
OR,049785,AZARA MICRO VARIEGATA,Azara microphylla 'Variegata'                               ,Variegated Box-Leaf Azara                                   ,,,,,,,,,,,,,,,,,
OR,049772,AZARA MICROPHYLLA,Azara microphylla                                           ,Box-leaf Azara                                              ,,,,,,,,,,,,,,,,,
OR,049795,AZARA SERRATA ANDEAN GOLD TM,Azara serrata Andean Gold™ ,Andean Gold™  Saw-toothed Azara,,,,,,,,,,,,,,,,,
OR,078461,BACCHARIS MAGELLANICA,Baccharis magellanica                                       ,Christmas Bush                                              ,,,,,,,,,,,,,,,,,
OR,053492,BAM-BORINDA BOLIANA (CLUMP),Borinda boliana (Clumping)                                  ,Giant Blue Bamboo                                           ,,,,,,,,,,,,,,,,,
OR,050022,BEESIA DELTOPHYLLA,Beesia deltophylla                                          ,Beesia                                                      ,,,,,,,,,,,,,,,,,
OR,074741S,BER SUNJOY R GOLD PILLAR PPAF,"Berberis thunbergii 'Maria' P.P. #18,082                    ",Sunjoy®  Gold Pillar Barberry,,,,,,,,,,,,,,,,,
OR,012001,BER T ATROPURPUREA,Berberis thunbergii 'Atropurpurea'                          ,Red Leaf Japanese Barberry                                  ,,,,,,,,,,,,,,,,,
OR,012011,BER T CHERRY BOMB R CPBR 3488,Berberis thunbergii 'Monomb' C.P.B.R. #3488                 ,Cherry Bomb®  Japanese Barberry,,,,,,,,,,,,,,,,,
OR,012012,BER T CHERRY BOMB R CPBR 3488,Berberis thunbergii 'Monomb' C.P.B.R. #3488                 ,Cherry Bomb®  Japanese Barberry,,,,,,,,,,,,,,,,,
OR,012013,BER T CHERRY BOMB R CPBR 3488,Berberis thunbergii 'Monomb' C.P.B.R. #3488                 ,Cherry Bomb®  Japanese Barberry,,,,,,,,,,,,,,,,,
OR,012053,BER T CRIMSON PYGMY,Berberis thunbergii 'Crimson Pygmy' ('Atropurpurea Nana')   ,Crimson Pygmy Dwarf Japanese Barberry                       ,,,,,,,,,,,,,,,,,
OR,035232,BER T GOLDEN RUBY R PP16203,"Berberis thunbergii 'Goruzam' P.P. #16,203                  ",Golden Ruby®  Barberry,,,,,,,,,,,,,,,,,
OR,035233,BER T GOLDEN RUBY R PP16203,"Berberis thunbergii 'Goruzam' P.P. #16,203                  ",Golden Ruby®  Barberry,,,,,,,,,,,,,,,,,
OR,012102,BER T HELMOND PILLAR,Berberis thunbergii 'Helmond Pillar'                        ,Helmond Pillar Barberry                                     ,,,,,,,,,,,,,,,,,
OR,012105,BER T HELMOND PILLAR,Berberis thunbergii 'Helmond Pillar'                        ,Helmond Pillar Barberry                                     ,,,,,,,,,,,,,,,,,
OR,035241,BER T PYGMY RUBY TM,Berberis thunbergii 'Pygruzam'                              ,Pygmy Ruby™  Barberry,,,,,,,,,,,,,,,,,
OR,012201,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,,,,,,,,,,,,,,,,,
OR,012202,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,,,,,,,,,,,,,,,,,
OR,012205,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,,,,,,,,,,,,,,,,,
OR,012211,BER T ROYAL BURGUNDY R P9461,Berberis thunbergii 'Gentry' P.P.# 9461                     ,Royal Burgundy®  Barberry,,,,,,,,,,,,,,,,,
OR,012212,BER T ROYAL BURGUNDY R P9461,Berberis thunbergii 'Gentry' P.P.# 9461                     ,Royal Burgundy®  Barberry,,,,,,,,,,,,,,,,,
OR,029661,BER T ROYAL CLOAK,Berberis thunbergii 'Royal Cloak'                           ,Royal Cloak Japanese Barberry                               ,,,,,,,,,,,,,,,,,
OR,029665,BER T ROYAL CLOAK,Berberis thunbergii 'Royal Cloak'                           ,Royal Cloak Japanese Barberry                               ,,,,,,,,,,,,,,,,,
OR,022021,BERGENIA COR WINTERGLOW,Bergenia cordifolia 'Winterglut'                            ,Winterglow Bergenia                                         ,,,,,,,,,,,,,,,,,
OR,012315,BETULA JACQUEMONTII,Betula utilis var. jacquemontii                             ,Whitebarked Himalayan Birch                                 ,,,,,,,,,,,,,,,,,
OR,024715,BETULA N SUMR CASCADE PP15150,Betula nigra 'Summer Cascade' P.P.# 15105                   ,Summer Cascade River Birch                                  ,,,,,,,,,,,,,,,,,
OR,002345,BETULA NIGRA DURA HEAT R,Betula nigra 'BNMTF'                                        ,Dura Heat®  River Birch,,,,,,,,,,,,,,,,,
OR,012365,BETULA PENDULA PURPLE RAIN R,Betula pendula 'Monle'                                      ,Purple Rain®  European White Birch,,,,,,,,,,,,,,,,,
OR,012415SE,BETULA PENDULA YOUNGII,Betula pendula 'Youngii'                                    ,Young's Weeping Birch                                       ,,,,,,,,,,,,,,,,,
OR,012417SE,BETULA PENDULA YOUNGII,Betula pendula 'Youngii'                                    ,Young's Weeping Birch                                       ,,,,,,,,,,,,,,,,,
OR,013651,BRUNNERA MAC VARIEGATA,Brunnera macrophylla 'Variegata'                            ,Variegated Siberian Bugloss                                 ,,,,,,,,,,,,,,,,,
OR,080811S,BUD LO&BEHLD R ICE CHIP PPAF,Buddleja Lo & Behold®  'Ice Chip' P.P.A.F. Can. P.B.R.,Ice Chip Summer Lilac                                       ,,,,,,,,,,,,,,,,,
OR,080812S,BUD LO&BEHLD R ICE CHIP PPAF,Buddleja Lo & Behold®  'Ice Chip' P.P.A.F. Can. P.B.R.,Ice Chip Summer Lilac                                       ,,,,,,,,,,,,,,,,,
OR,077392S,BUDDLEJA MISS MOLLY PPAF,"Buddleja x 'Miss Molly' P.P.A.F., C.B.R.A.F.                ",Miss Molly Summer Lilac                                     ,,,,,,,,,,,,,,,,,
OR,077395,BUDDLEJA MISS MOLLY PPAF,"Buddleja x 'Miss Molly' P.P.A.F., C.B.R.A.F.                ",Miss Molly Summer Lilac                                     ,,,,,,,,,,,,,,,,,
OR,074405,BUDDLEJA X MISS RUBY PPAF,Buddleja (B.davidii x (B. davidii x B. globosa)) x (B. david,Miss Ruby Summer Lilac                                      ,,,,,,,,,,,,,,,,,
OR,013825SP,BUXUS GREEN MOUNTAIN,Buxus x 'Green Mountain'                                    ,Green Mountain Boxwood                                      ,,,,,,,,,,,,,,,,,
OR,013905SP,BUXUS S GREEN TOWER R PP15243,"Buxus sempervirens 'Monrue' P.P. #15,243                    ",Green Tower®  Boxwood,,,,,,,,,,,,,,,,,
OR,01398ECN,BUXUS SEMP SUFFRUTICOSA,Buxus sempervirens 'Suffruticosa'                           ,Dwarf English Boxwood                                       ,,,,,,,,,,,,,,,,,
OR,01398UT,BUXUS SEMP SUFFRUTICOSA,Buxus sempervirens 'Suffruticosa'                           ,Dwarf English Boxwood                                       ,,,,,,,,,,,,,,,,,
OR,01388EGL,BUXUS SEMP VARIEGATA,Buxus sempervirens 'Variegata'                              ,Variegated English Boxwood                                  ,,,,,,,,,,,,,,,,,
OR,01388UT,BUXUS SEMP VARIEGATA,Buxus sempervirens 'Variegata'                              ,Variegated English Boxwood                                  ,,,,,,,,,,,,,,,,,
OR,035971,BUXUS WEE WILLIE R PP17007,"Buxus sinica var. insularis 'Wee Willie' P.P.# 17,007       ",Wee Willie®  Boxwood,,,,,,,,,,,,,,,,,
OR,03597E,BUXUS WEE WILLIE R PP17007,"Buxus sinica var. insularis 'Wee Willie' P.P.# 17,007       ",Wee Willie®  Boxwood,,,,,,,,,,,,,,,,,
OR,03597UT,BUXUS WEE WILLIE R PP17007,"Buxus sinica var. insularis 'Wee Willie' P.P.# 17,007       ",Wee Willie®  Boxwood,,,,,,,,,,,,,,,,,
OR,013991,CALLICARPA BOD PROFUSION,Callicarpa bodinieri 'Profusion'                            ,Profusion Beautyberry                                       ,,,,,,,,,,,,,,,,,
OR,013995,CALLICARPA BOD PROFUSION,Callicarpa bodinieri 'Profusion'                            ,Profusion Beautyberry                                       ,,,,,,,,,,,,,,,,,
OR,092922,CALLICARPA DICH SUMMER SNOW R,Callicarpa dichotoma Summer Snow® ,Summer Snow®  Beauty Berry,,,,,,,,,,,,,,,,,
OR,029051,CALLUNA MRS. RONALD GRAY,Calluna vulgaris 'Mrs. Ronald Gray'                         ,Mrs. Ronald Gray Scotch Heather                             ,,,,,,,,,,,,,,,,,
OR,02235UT,CAMPANULA CAR DEEP BLUE CLIPS,Campanula carpatica 'Deep Blue Clips'                       ,Deep Blue Clips Bellflower                                  ,,,,,,,,,,,,,,,,,
OR,408421,CAMPANULA GLOM GENTI BLUE PPAF,Campanula glomerata 'Genti Blue'                            ,Genti Blue Bellflower                                       ,,,,,,,,,,,,,,,,,
OR,408411,CAMPANULA GLOM GENTI WHITE PAF,Campanula glomerata 'Genti White'                           ,Genti White Bellflower                                      ,,,,,,,,,,,,,,,,,
OR,022361,CAMPANULA PORTENSCHLAGIANA,Campanula portenschlagiana                                  ,Dalmatian Bellflower                                        ,,,,,,,,,,,,,,,,,
OR,038611,CAMPANULA SAMANTHA,Campanula 'Samantha'                                        ,Samantha Bellflower                                         ,,,,,,,,,,,,,,,,,
OR,022495,CARAGANA ARB WALKER,Caragana arborescens 'Walker'                               ,Walker Siberian Peashrub                                    ,,,,,,,,,,,,,,,,,
OR,092891,CARY CLA KORBALL BLU BALLOON R,Caryopteris x clandonensis 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,,,,,,,,,,,,,,,,,
OR,092892,CARY CLA KORBALL BLU BALLOON R,Caryopteris x clandonensis 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,,,,,,,,,,,,,,,,,
OR,031295,CEANOTHUS CENTENNIAL,Ceanothus 'Centennial'                                      ,Centennial Hybrid Wild Lilac                                ,,,,,,,,,,,,,,,,,
OR,023185,CEANOTHUS THY VICTORIA,Ceanothus thyrsiflorus 'Victoria'                           ,Victoria California Lilac                                   ,,,,,,,,,,,,,,,,,
OR,074432S,CEANOTHUS X MARIE BLEU TM PPAF,Ceanothus x pallidus 'Minmari' P.P.A.F.                     ,Marie Bleu™  New Jersey Tea,,,,,,,,,,,,,,,,,
OR,023305,CEDRUS ATLANTICA GLAUCA,Cedrus atlantica 'Glauca'                                   ,Blue Atlas Cedar                                            ,,,,,,,,,,,,,,,,,
OR,023315SE,CEDRUS ATLANTICA GLAUCA PNDULA,Cedrus atlantica 'Glauca Pendula'                           ,Weeping Blue Atlas Cedar                                    ,,,,,,,,,,,,,,,,,
OR,023315ST,CEDRUS ATLANTICA GLAUCA PNDULA,Cedrus atlantica 'Glauca Pendula'                           ,Weeping Blue Atlas Cedar                                    ,,,,,,,,,,,,,,,,,
OR,023327,CEDRUS ATLANTICA HORSTMANN,Cedrus atlantica 'Horstmann'                                ,Horstmann Blue Atlas Cedar                                  ,,,,,,,,,,,,,,,,,
